id,brightness,noisy_brightness,noisy_sigma,psnr,residual_mean,residual_std,trimmed_std,outlier_fraction,residual_corr_h,residual_corr_v,row_bias_std,col_bias_std,noisy_black_fraction,noisy_white_fraction
067,0.13228420913219452,0.13618241250514984,0.025194549933075905,25.975027084350586,0.003898213617503643,0.05011163279414177,0.044060174375772476,0.000733229281709124,0.03345116227865219,0.04162180423736572,0.007583203725516796,0.00851756613701582,0.05270731981879197,0.0013356334218684873
068,0.10733839869499207,0.11261621117591858,0.040698885917663574,21.507091522216797,0.005277820862829685,0.08390501141548157,0.06414288282394409,0.009766248938947253,0.04965608939528465,0.050737448036670685,0.01223258301615715,0.012233935296535492,0.24072434534186435,0.001475585898875208
069,0.42870792746543884,0.43134915828704834,0.07461462169885635,17.13544464111328,0.0026412021834403276,0.13904310762882233,0.07590063661336899,0.07875977765810827,0.10202307254076004,0.10191444307565689,0.014126285910606384,0.01620316691696644,0.028878889385821598,0.04821667077396762
070,0.5526790618896484,0.545778751373291,0.06298632174730301,18.80082130432129,-0.006900267209857702,0.11459694802761078,0.07640325278043747,0.03364031604920242,0.02599393017590046,0.01945480704307556,0.012282172217965126,0.010071076452732086,0.004159022523221463,0.027162950319913108
071,0.2503329813480377,0.2583814561367035,0.039729874581098557,21.73992156982422,0.008048459887504578,0.08145053684711456,0.0619000606238842,0.009577617339503412,0.06605236232280731,0.07210947573184967,0.010719473473727703,0.012354936450719833,0.03974041857960406,0.02203643023825388
072,0.2615448832511902,0.26657834649086,0.06492441892623901,18.736804962158203,0.005033461842685938,0.11554417014122009,0.07372625917196274,0.039338815819497816,0.05213011056184769,0.0495094396173954,0.012552783824503422,0.012703625485301018,0.0624857385383485,0.008960000973582448
073,0.4813169240951538,0.48151475191116333,0.045544009655714035,23.05713653564453,0.00019779645663220435,0.07033012807369232,0.059400755912065506,0.0021357964969286516,0.041180599480867386,0.03866945952177048,0.008837358094751835,0.00885022059082985,0.010675940039490938,0.02199992089642604
074,0.6683719158172607,0.6603355407714844,0.09593307971954346,15.445789337158203,-0.008036438375711441,0.16874021291732788,0.08311036974191666,0.14863257302628977,0.009212258271872997,0.008130473084747791,0.011057369410991669,0.01071512047201395,2.433956121856013e-05,0.024455174134348293
075,0.313934862613678,0.3320907950401306,0.07073855400085449,17.681678771972656,0.018155919387936592,0.12932360172271729,0.07911905646324158,0.056029669925125425,0.01940668374300003,0.020360123366117477,0.013424510136246681,0.014202320948243141,0.010843274522868538,0.0006632530432057637
076,0.2193053960800171,0.22134752571582794,0.02907063066959381,25.26007843017578,0.0020421184599399567,0.05453706160187721,0.047433625906705856,0.0009948795648086453,0.03621095046401024,0.037944670766592026,0.007842403836548328,0.007945793680846691,0.030792587386630887,0.00558288685450723
077,0.3571261763572693,0.37383773922920227,0.08139778673648834,16.714998245239258,0.016711633652448654,0.14500564336776733,0.08040789514780045,0.08647237611923951,0.011824180372059345,0.013589151203632355,0.011133621446788311,0.011570336297154427,0.0071375763273427584,0.0008823090941728048
078,0.43402257561683655,0.43737372756004333,0.03391573578119278,24.036638259887695,0.0033511596266180277,0.06274071335792542,0.05576193332672119,0.0008579695329542446,0.02216591313481331,0.020140452310442924,0.007264601998031139,0.007360109128057957,0.002440041012160653,0.013082514154976072
079,0.2977464199066162,0.3047198951244354,0.05038910359144211,20.29427719116211,0.006973450072109699,0.0964168906211853,0.06734948605298996,0.01974851148370923,0.06718070060014725,0.06458962708711624,0.011913849040865898,0.010566690936684608,0.04798240249723898,0.017956511288992737
080,0.16199132800102234,0.16215817630290985,0.052327144891023636,19.94419288635254,0.0001668502954998985,0.10064443945884705,0.06921812146902084,0.02195732666429356,0.050137151032686234,0.045030057430267334,0.013117884285748005,0.011108705773949623,0.16028818040482776,0.0011591716030339263
081,0.5018559694290161,0.5020496249198914,0.07558363676071167,16.691972732543945,0.00019368056382518262,0.14635276794433594,0.07775332778692245,0.09165061776848818,0.05707193538546562,0.055074285715818405,0.014933976344764233,0.01372034102678299,0.03113334124369073,0.04968921422769051
082,0.4764896631240845,0.4871619939804077,0.07945974916219711,17.01046371459961,0.010672321543097496,0.1406794637441635,0.08020560443401337,0.07746978091352458,0.015994498506188393,0.020008239895105362,0.012125197798013687,0.014131841249763966,0.0005415552371129629,0.010548157343093497
083,0.4687923789024353,0.46509280800819397,0.030039673671126366,25.416446685791016,-0.003699581604450941,0.05347377061843872,0.04953523352742195,0.0004441969922387224,0.04202526435256004,0.05960812419652939,0.007529004476964474,0.009998525492846966,0.0036418068473270597,0.012276266189611267
084,0.4719374477863312,0.47827431559562683,0.07558363676071167,17.277019500732422,0.006336889695376158,0.1366730034351349,0.07813393324613571,0.07198729474904392,0.06649848073720932,0.05732949823141098,0.016611916944384575,0.0128425732254982,0.006839416702415398,0.028328206813251672
085,0.32412201166152954,0.3401941955089569,0.07170755416154861,17.739444732666016,0.01607217639684677,0.1287267655134201,0.07524952292442322,0.06052031896994977,0.04803797975182533,0.040914855897426605,0.014062979258596897,0.012382324784994125,0.04896511228143834,0.01837941116516522
086,0.3230716288089752,0.3388555347919464,0.06589342653751373,18.062238693237305,0.015783926472067833,0.12399309873580933,0.07536051422357559,0.05248217887752028,0.06538677960634232,0.06321670860052109,0.014239716343581676,0.013089384883642197,0.04107300955632023,0.020956362209180273
087,0.4852053225040436,0.48248520493507385,0.0775216817855835,18.470218658447266,-0.002720113145187497,0.11922739446163177,0.0761311799287796,0.03953657475439862,0.021916352212429047,0.018182862550020218,0.011385006830096245,0.01056827325373888,0.011180985934776061,0.012029828132273346
088,0.45474353432655334,0.45337700843811035,0.06976952403783798,17.612642288208008,-0.0013665086589753628,0.13162684440612793,0.07765671610832214,0.061408712954427215,0.037997011095285416,0.028509480878710747,0.015576575882732868,0.011679395101964474,0.02942348706808688,0.026438848373660943
089,0.3251199722290039,0.33399486541748047,0.03876084089279175,22.126583099365234,0.008874919265508652,0.07777891308069229,0.05906732752919197,0.008266323478853485,0.14105373620986938,0.1370590478181839,0.012183777056634426,0.017416367307305336,0.038559949860503887,0.048076718296960905
090,0.47777920961380005,0.47995689511299133,0.029070641845464706,27.263669967651367,0.0021776268258690834,0.04327802360057831,0.0412360355257988,0.0004441969922387224,0.047533970326185226,0.02671240083873272,0.008648071438074112,0.006375410594046116,0.0024339561218560133,0.005275599894122909
